ENSMUSG00000102693.2	4933401J01Rik
ENSMUSG00000103825.2	Gm38178
ENSMUSG00000099845.2	Gm29273
ENSMUSG00000103561.2	Gm38069
ENSMUSG00000101610.2	Gm7560
ENSMUSG00000118923.1	Gm22633
ENSMUSG00000098555.3	Mir6341
ENSMUSG00000097628.2	Gm2383
ENSMUSG00000098163.2	Gm6216
ENSMUSG00000097171.2	Gm17644
ENSMUSG00000101314.2	Gm29663
ENSMUSG00000016918.16	Sulf1
ENSMUSG00000025938.17	Slco5a1
ENSMUSG00000104518.2	Gm37162
ENSMUSG00000069620.7	Gm5250
ENSMUSG00000099498.2	Gm29283
ENSMUSG00000042414.8	Prdm14
ENSMUSG00000005886.15	Ncoa2
ENSMUSG00000103506.2	Gm38376
ENSMUSG00000103495.2	Gm37409
ENSMUSG00002076346.1	Gm55160
ENSMUSG00000102639.2	Gm38223
ENSMUSG00000104170.2	Gm37702
ENSMUSG00000087782.3	Gm23169
ENSMUSG00000103085.2	Gm38120
ENSMUSG00000102664.2	Gm38380
ENSMUSG00000101476.2	Gm29570
ENSMUSG00000101171.2	Gm7593
ENSMUSG00000025935.11	Tram1
ENSMUSG00000120948.1	Gm57152
ENSMUSG00000025937.7	Lactb2
ENSMUSG00000102982.2	Gm38319
ENSMUSG00000067813.4	Xkr9
ENSMUSG00000077368.3	Gm26273
ENSMUSG00000097711.2	Gm5523
ENSMUSG00000102166.2	Gm36947
ENSMUSG00002075174.1	Gm55173
ENSMUSG00000104209.2	Gm37400
ENSMUSG00000025932.15	Eya1
ENSMUSG00002075819.1	Gm55247
ENSMUSG00000102588.2	Gm37444
ENSMUSG00000054493.3	Gm9947
ENSMUSG00000025930.7	Msc
ENSMUSG00000103492.2	Gm37412
ENSMUSG00000081201.2	Smt3h2-ps4
ENSMUSG00000082193.2	Rpl5-ps1
ENSMUSG00000032769.6	Trpa1
ENSMUSG00000088159.3	Gm26345
ENSMUSG00000073737.4	Gm10566
ENSMUSG00000092083.5	Kcnb2
ENSMUSG00000102937.2	Gm38116
ENSMUSG00000104149.2	Gm37138
ENSMUSG00000088829.3	Gm25227
ENSMUSG00000077377.3	Gm25168
ENSMUSG00000101652.2	Gm6060
ENSMUSG00000100814.2	Gm28669
ENSMUSG00000025925.15	Terf1
ENSMUSG00000104379.2	Gm37509
ENSMUSG00000032719.5	Sbspon
ENSMUSG00002076565.1	Gm55274
ENSMUSG00000100652.2	Gm7634
ENSMUSG00000067795.14	4930444P10Rik
ENSMUSG00000043716.14	Rpl7
ENSMUSG00000025921.8	Rdh10
ENSMUSG00000104165.2	Gm38249
ENSMUSG00000100868.2	Gm28095
ENSMUSG00000025920.20	Stau2
ENSMUSG00000089982.8	Gm7568
ENSMUSG00000025939.20	Ube2w
ENSMUSG00000102457.2	Gm38342
ENSMUSG00000079658.10	Eloc
ENSMUSG00000097744.2	D030040B21Rik
ENSMUSG00000100959.2	Idi1-ps5
ENSMUSG00000025940.7	Tmem70
ENSMUSG00000025779.11	Ly96
ENSMUSG00000100093.2	Gm29649
ENSMUSG00000091020.4	Gm5828
ENSMUSG00000101640.2	Gm28376
ENSMUSG00000104133.2	4921511E07Rik
ENSMUSG00000042686.6	Jph1
ENSMUSG00000100110.2	Gm28783
ENSMUSG00000025777.9	Gdap1
ENSMUSG00000099899.2	Gm28784
ENSMUSG00000100272.2	Gm28785
ENSMUSG00000100398.2	Gm5251
ENSMUSG00000101589.2	Rbm6-ps1
ENSMUSG00000102048.2	Gm6075
ENSMUSG00000089534.3	Gm25166
ENSMUSG00000067780.4	Pi15
ENSMUSG00000100053.2	Gm28154
ENSMUSG00000085125.8	Gm16070
ENSMUSG00000025776.14	Crispld1
ENSMUSG00000099895.2	Gm28153
ENSMUSG00000100554.2	Gm7690
ENSMUSG00000099473.2	Gm18775
ENSMUSG00000099591.2	Gm17969
ENSMUSG00000109887.2	Gm28756
ENSMUSG00000102001.2	Gm28755
ENSMUSG00000101717.3	Gm45784
ENSMUSG00000025774.15	Crisp4
ENSMUSG00000070977.5	Defb44-ps
ENSMUSG00000073735.2	Defb18
ENSMUSG00000067773.7	Defb41
ENSMUSG00000101685.2	Gm17837
ENSMUSG00000101306.2	Gm5252
ENSMUSG00000088800.4	Gm24075
ENSMUSG00000101644.2	Gm28343
ENSMUSG00000099433.2	Gm28344
ENSMUSG00000089787.3	Gm15825
ENSMUSG00000042596.8	Tfap2d
ENSMUSG00000100720.2	Gm10075
ENSMUSG00000025927.14	Tfap2b
ENSMUSG00000100538.2	Gm28340
ENSMUSG00000101117.2	Gm28341
ENSMUSG00000100204.2	Gm4849
ENSMUSG00002076883.1	Gm55451
ENSMUSG00000102597.2	Gm38382
ENSMUSG00000043760.17	Pkhd1
ENSMUSG00000104095.2	Gm37315
ENSMUSG00000089914.3	4930486I03Rik
ENSMUSG00000090142.3	Gm15795
ENSMUSG00000070175.3	Gm24162
ENSMUSG00000099906.3	Lincmd1
ENSMUSG00000065559.3	Mir206
ENSMUSG00000065480.3	Mir133b
ENSMUSG00000025929.5	Il17a
ENSMUSG00000041872.10	Il17f
ENSMUSG00000041859.11	Mcm3
ENSMUSG00000099714.2	Gm20587
ENSMUSG00000102121.2	Gm28065
ENSMUSG00000088858.3	Gm24723
ENSMUSG00000097934.2	6720483E21Rik
ENSMUSG00000025931.16	Paqr8
ENSMUSG00000077314.3	Gm24171
ENSMUSG00000100929.2	Gm28064
ENSMUSG00000041809.6	Efhc1
ENSMUSG00000041779.6	Tram2
ENSMUSG00000099971.2	Gm28287
ENSMUSG00000100819.2	Gm2693
ENSMUSG00000025933.16	Tmem14a
ENSMUSG00000102633.2	Gm38224
ENSMUSG00000025934.16	Gsta3
ENSMUSG00000099343.2	Gm28836
ENSMUSG00000096375.3	Gm7094
ENSMUSG00000121505.1	Gm4956
ENSMUSG00000025936.18	Gm4956
ENSMUSG00000093963.2	Gm21909
ENSMUSG00000067750.4	Khdc1a
ENSMUSG00000086194.2	Gm16329
ENSMUSG00000094436.2	Gm16327
ENSMUSG00000041722.8	Khdc1c
ENSMUSG00000085507.2	Gm2709
ENSMUSG00000094926.2	Gm16533
ENSMUSG00000085079.4	Khdc1b
ENSMUSG00000085679.3	Gm16328
ENSMUSG00000028033.17	Kcnq5
ENSMUSG00000104138.2	Gm36949
ENSMUSG00000082935.4	Gm7658
ENSMUSG00000103748.2	Gm38243
ENSMUSG00000099692.2	Gm5696
ENSMUSG00000100418.2	Gm28239
ENSMUSG00000041670.20	Rims1
ENSMUSG00000097642.2	Gm26866
ENSMUSG00000101468.2	Gm7761
ENSMUSG00000101227.2	Gm29506
ENSMUSG00000073730.3	Ppp1r14bl
ENSMUSG00000089553.3	Gm24176
ENSMUSG00000102766.2	Gm6420
ENSMUSG00000065405.5	Mir30a
ENSMUSG00000097970.2	Gm27028
ENSMUSG00000065567.3	Mir30c-2
ENSMUSG00000100775.2	Gm29107
ENSMUSG00000101226.2	Gm20954
ENSMUSG00000026158.12	Ogfrl1
ENSMUSG00000097920.2	Gm7784
ENSMUSG00000099503.2	Gm28822
ENSMUSG00000026156.9	B3gat2
ENSMUSG00000026155.14	Smap1
ENSMUSG00000026154.5	Sdhaf4
ENSMUSG00000102495.2	Gm26524
ENSMUSG00000026153.16	Fam135a
ENSMUSG00000102398.2	Gm37580
ENSMUSG00000097670.2	Gm26607
ENSMUSG00000026147.17	Col9a1
ENSMUSG00000026141.14	Col19a1
ENSMUSG00000077463.3	Gm26418
ENSMUSG00000099997.2	Tubb4b-ps2
ENSMUSG00000100131.2	Gm28439
ENSMUSG00000067736.3	Gm10222
ENSMUSG00000101939.2	Gm28438
ENSMUSG00000101111.2	Gm28437
ENSMUSG00000100862.2	Gm10925
ENSMUSG00000102070.2	Gm28661
ENSMUSG00000101249.2	Gm29216
ENSMUSG00000073725.9	Lmbrd1
ENSMUSG00000100808.2	Gm28594
ENSMUSG00000100483.2	Gm28237
ENSMUSG00000100450.2	Gm9443
ENSMUSG00000099392.2	Gm29414
ENSMUSG00000033569.18	Adgrb3
ENSMUSG00000080849.2	Gm15702
ENSMUSG00000104257.2	Gm20172
ENSMUSG00000119153.1	Gm22260
ENSMUSG00000102296.2	Gm37543
ENSMUSG00000103209.2	Gm37331
ENSMUSG00000104027.2	Gm37211
ENSMUSG00000102407.2	Gm37862
ENSMUSG00000103214.2	Gm38286
ENSMUSG00000104100.2	Gm37880
ENSMUSG00000084740.3	Gm25294
ENSMUSG00000103889.2	Gm37011
ENSMUSG00000101301.2	Gm29214
ENSMUSG00000104221.2	Gm37051
ENSMUSG00000102250.2	Gm38260
ENSMUSG00000102317.2	Gm37628
ENSMUSG00000103563.2	8030445P17Rik
ENSMUSG00000102465.2	Gm38198
ENSMUSG00000102659.2	Gm37077
ENSMUSG00000103924.2	Gm37895
ENSMUSG00000104132.2	Gm36952
ENSMUSG00000102747.2	Gm37602
ENSMUSG00000102386.2	2900022M07Rik
ENSMUSG00000103004.2	2900002M20Rik
ENSMUSG00000104516.2	Gm9884
ENSMUSG00000101618.2	Gm18443
ENSMUSG00000099458.2	Gm19123
ENSMUSG00000088111.3	Gm24064
ENSMUSG00000073722.4	4931408C20Rik
ENSMUSG00000119695.1	n-R5s209
ENSMUSG00000100310.2	Gm19641
ENSMUSG00000101514.3	Gm5524
ENSMUSG00000101033.2	Gm18776
ENSMUSG00000101372.2	Gm19028
ENSMUSG00000103241.2	Gm38089
ENSMUSG00000086240.5	Gm7846
ENSMUSG00000048411.5	Gm597
ENSMUSG00000081557.3	Gm5697
ENSMUSG00000058590.3	Gm6462
ENSMUSG00000101235.2	Gm18033
ENSMUSG00002075209.1	Gm55767
ENSMUSG00002076857.1	Gm55769
ENSMUSG00002074912.1	Gm55770
ENSMUSG00000099257.3	Mir6342
ENSMUSG00000099492.2	Gm5525
ENSMUSG00000118548.2	Gm53035
ENSMUSG00000101726.2	Gm7858
ENSMUSG00002075317.1	Gm55771
ENSMUSG00002075289.1	Gm55772
ENSMUSG00000053185.3	Gm9898
ENSMUSG00000100261.2	Gm6473
ENSMUSG00000101180.2	Gm2914
ENSMUSG00000048874.16	Phf3
ENSMUSG00000103783.2	Gm37522
ENSMUSG00000104315.2	Gm37906
ENSMUSG00000026064.17	Ptp4a1
ENSMUSG00000117310.3	Ptp4a1
ENSMUSG00000117091.2	Gm5698
ENSMUSG00000086726.4	Gm9458
ENSMUSG00000086727.10	4931428L18Rik
ENSMUSG00000100237.2	Gm28644
ENSMUSG00002076113.1	Gm55778
ENSMUSG00000100910.2	Gm29128
ENSMUSG00000099796.2	Gm7893
ENSMUSG00000050217.14	Lgsn
ENSMUSG00000026063.5	Dnaaf6
ENSMUSG00000077664.3	Gm26145
ENSMUSG00000100205.2	Gm4850
ENSMUSG00000100592.2	Gm28645
ENSMUSG00000094215.4	Gm6489
ENSMUSG00000101093.2	Eef1a1-ps2
ENSMUSG00000070960.5	Gm19680
ENSMUSG00000088620.3	Gm23032
ENSMUSG00000082159.3	Gm7910
ENSMUSG00000026058.12	Khdrbs2
ENSMUSG00000064688.3	Gm25814
ENSMUSG00000103482.2	Gm37999
ENSMUSG00000104498.2	Gm37110
ENSMUSG00000104313.2	Gm37911
ENSMUSG00000102865.2	Gm9839
ENSMUSG00000102321.2	Gm37792
ENSMUSG00000091318.3	Semp2l1
ENSMUSG00000089489.3	Gm24732
ENSMUSG00000104433.2	Gm37426
ENSMUSG00002076392.1	Gm55794
ENSMUSG00000102926.2	Gm37151
ENSMUSG00000100497.2	Gm28624
ENSMUSG00000102917.2	Gm37724
ENSMUSG00000100481.2	Gm7114
ENSMUSG00000100590.2	Gm4785
ENSMUSG00000088750.3	Gm24901
ENSMUSG00000104230.2	Gm37591
ENSMUSG00000101754.3	Gm2987
ENSMUSG00000065223.4	Gm25792
ENSMUSG00000100318.3	Gm18799
ENSMUSG00000101612.3	Gm7933
ENSMUSG00000065260.3	Gm23453
ENSMUSG00000026134.12	Prim2
ENSMUSG00000101682.2	Gm29228
ENSMUSG00000102714.2	Gm37618
ENSMUSG00000102093.2	Gm17813
ENSMUSG00000103746.3	1700001G17Rik
ENSMUSG00000102198.2	Gm38173
ENSMUSG00000121274.1	Gm57180
ENSMUSG00000004768.15	Rab23
ENSMUSG00000042215.9	Bag2
ENSMUSG00000103072.2	Gm37905
ENSMUSG00000042197.14	Zfp451
ENSMUSG00000081402.5	Gm15455
ENSMUSG00000042182.17	Bend6
ENSMUSG00000104416.2	Gm37067
ENSMUSG00000026131.22	Dst
ENSMUSG00000103596.2	Gm37354
ENSMUSG00000099382.2	Gm28631
ENSMUSG00000084506.3	Gm23792
ENSMUSG00000103364.2	Gm38157
ENSMUSG00000105982.3	Mir6896
ENSMUSG00000096992.4	Gm26788
ENSMUSG00000103001.2	A930005N03Rik
ENSMUSG00000104397.2	Gm37958
ENSMUSG00000102839.2	Gm37385
ENSMUSG00000101206.2	Gm5266
ENSMUSG00000101462.4	Gm3052
ENSMUSG00000121838.1	ENSMUSG00000121838
ENSMUSG00000102336.3	Gm37233
ENSMUSG00000092852.3	Mir5103
ENSMUSG00000042111.10	Ccdc115
ENSMUSG00000101711.2	Gm28306
ENSMUSG00000026127.14	Imp4
ENSMUSG00000026126.16	Ptpn18
ENSMUSG00000100280.4	Gm28417
ENSMUSG00000101223.8	4930568A12Rik
ENSMUSG00000026125.10	Prss39
ENSMUSG00000101116.2	Gm28416
ENSMUSG00000026124.5	Cfc1
ENSMUSG00000101803.2	Gm28419
ENSMUSG00000037529.14	Prss40
ENSMUSG00000045815.5	1700101I19Rik
ENSMUSG00000045174.11	Amer3
ENSMUSG00000100524.2	Gm28418
ENSMUSG00000102499.2	Gm36984
ENSMUSG00000103521.2	Gm29730
ENSMUSG00000104098.2	AA619741
ENSMUSG00000037509.22	Arhgef4
ENSMUSG00000102537.2	Gm37224
ENSMUSG00000102612.2	Gm37845
ENSMUSG00000118272.2	Gm55978
ENSMUSG00000104002.3	Gm38336
ENSMUSG00000037503.13	Fam168b
ENSMUSG00000104358.2	Gm37127
ENSMUSG00000026123.12	Plekhb2
ENSMUSG00000103716.2	Gm19430
ENSMUSG00000103548.2	Gm37670
ENSMUSG00000103760.2	Gm8009
ENSMUSG00000103997.2	Gm38027
ENSMUSG00000077231.3	Gm25096
ENSMUSG00000104417.2	Gm37068
ENSMUSG00000064601.3	Gm25634
ENSMUSG00000101714.2	Gm28415
ENSMUSG00000102531.2	1110002O04Rik
ENSMUSG00000103096.2	Gm8022
ENSMUSG00000102279.2	Gm37146
ENSMUSG00000103708.3	Gm33222
ENSMUSG00000104201.2	4930535G08Rik
ENSMUSG00000102434.2	Gm38049
ENSMUSG00000045216.8	Hs6st1
ENSMUSG00000104523.2	Gm37335
ENSMUSG00000102202.3	Gm33280
ENSMUSG00000037470.15	Uggt1
ENSMUSG00000098752.3	Mir6897
ENSMUSG00000047180.9	Neurl3
ENSMUSG00000037447.17	Arid5a
ENSMUSG00000102762.2	4930403P22Rik
ENSMUSG00000010453.13	Kansl3
ENSMUSG00000098680.3	Mir6898
ENSMUSG00000037432.16	Fer1l5
ENSMUSG00000001143.14	Lman2l
ENSMUSG00000037408.11	Cnnm4
ENSMUSG00000104316.2	Gm37909
ENSMUSG00002075980.1	Gm56056
ENSMUSG00000001138.14	Cnnm3
ENSMUSG00000102845.2	Gm38033
ENSMUSG00000067653.13	Ankrd23
ENSMUSG00000109510.2	Gm42417
ENSMUSG00000079610.10	Ankrd39
ENSMUSG00000026121.14	Sema4c
ENSMUSG00000087589.4	D430040D24Rik
ENSMUSG00000046337.18	Fam178b
ENSMUSG00000089906.2	Gm6428
ENSMUSG00002075377.1	Gm56095
ENSMUSG00000061518.12	Cox5b
ENSMUSG00000037351.10	Actr1b
ENSMUSG00000102416.5	4933424G06Rik
ENSMUSG00000104237.2	Gm33533
ENSMUSG00000026117.11	Zap70
ENSMUSG00000121718.1	ENSMUSG00000121718
ENSMUSG00000097291.3	Gm18828
ENSMUSG00000026116.12	Tmem131
ENSMUSG00000103016.2	Gm37506
ENSMUSG00000102930.2	Gm38115
ENSMUSG00000103159.2	F830112A20Rik
ENSMUSG00000080054.4	Rpl12-ps1
ENSMUSG00000119706.1	n-R5s210
ENSMUSG00000050122.21	Vwa3b
ENSMUSG00000103603.2	Gm37020
ENSMUSG00000026114.15	Cnga3
ENSMUSG00000102231.2	1700074A21Rik
ENSMUSG00000026113.18	Inpp4a
ENSMUSG00000086064.2	4930439A04Rik
ENSMUSG00000102879.2	Gm37135
ENSMUSG00000026112.8	Coa5
ENSMUSG00000026111.16	Unc50
ENSMUSG00000026110.16	Mgat4a
ENSMUSG00000103948.2	4930594C11Rik
ENSMUSG00000087233.2	Gm43213
ENSMUSG00000026090.17	Cracdl
ENSMUSG00000089767.2	4930556I23Rik
ENSMUSG00000104365.2	4930470B04Rik
ENSMUSG00000102650.2	Gm19863
ENSMUSG00000060771.16	Tsga10
ENSMUSG00000097268.2	Gm26805
ENSMUSG00000037216.6	Lipt1
ENSMUSG00000026088.16	Mitd1
ENSMUSG00000026087.12	Mrpl30
ENSMUSG00000061584.7	Lyg2
ENSMUSG00000087374.2	Gm15457
ENSMUSG00000026085.12	Lyg1
ENSMUSG00002076708.1	Gm56189
ENSMUSG00000058407.13	Txndc9
ENSMUSG00000026083.13	Eif5b
ENSMUSG00000026082.12	Rev1
ENSMUSG00000103804.2	Gm37062
ENSMUSG00000102716.2	Gm5099
ENSMUSG00000037138.19	Aff3
ENSMUSG00000085391.2	Gm16150
ENSMUSG00000085280.2	Gm16151
ENSMUSG00000087131.8	Gm16152
ENSMUSG00000102984.2	Gm34727
ENSMUSG00000102541.2	Gm38135
ENSMUSG00000103531.2	2610300A13Rik
ENSMUSG00000048814.12	Lonrf2
ENSMUSG00000026080.15	Chst10
ENSMUSG00000103647.2	Gm37707
ENSMUSG00000102447.2	Gm6621
ENSMUSG00000067604.9	Nms
ENSMUSG00000026078.11	Pdcl3
ENSMUSG00000103046.2	Gm37309
ENSMUSG00000104188.2	Gm37821
ENSMUSG00000103182.2	Gm37091
ENSMUSG00000098833.3	Mir6349
ENSMUSG00000026077.16	Npas2
ENSMUSG00000092553.2	Gm20428
ENSMUSG00000092563.2	Gm3617
ENSMUSG00000073702.12	Rpl31
ENSMUSG00000003134.11	Tbc1d8
ENSMUSG00000102607.2	Gm37265
ENSMUSG00000065629.4	Gm24826
ENSMUSG00002076218.1	Gm24826
ENSMUSG00000003135.16	Cnot11
ENSMUSG00000085894.2	Gm15832
ENSMUSG00000077704.3	Snord89
ENSMUSG00000048234.14	Rnf149
ENSMUSG00000064936.3	Gm23722
ENSMUSG00000102471.2	Gm5100
ENSMUSG00000050967.6	Creg2
ENSMUSG00000097083.2	D930019O06Rik
ENSMUSG00000057173.9	Rfx8
ENSMUSG00000091937.4	Gm3646
ENSMUSG00000101634.7	1700066B17Rik
ENSMUSG00000026074.16	Map4k4
ENSMUSG00000102985.2	4930456G14Rik
ENSMUSG00000026073.14	Il1r2
ENSMUSG00000097899.3	Gm16894
ENSMUSG00000102975.2	Gm37347
ENSMUSG00000026072.13	Il1r1
ENSMUSG00000103560.2	Gm38070
ENSMUSG00000070942.9	Il1rl2
ENSMUSG00000103230.2	Gm17970
ENSMUSG00000026069.16	Il1rl1
ENSMUSG00000026070.17	Il18r1
ENSMUSG00000026068.12	Il18rap
ENSMUSG00000104441.2	Gm35801
ENSMUSG00000026065.9	Slc9a4
ENSMUSG00000102676.2	Gm37435
ENSMUSG00000026062.13	Slc9a2
ENSMUSG00000103679.2	Gm37623
ENSMUSG00000103270.3	Gm37915
ENSMUSG00000041945.13	Mfsd9
ENSMUSG00000079588.4	Tmem182
ENSMUSG00000094136.3	Gm5973
ENSMUSG00000104072.2	4930448I06Rik
ENSMUSG00000100185.2	Gm28634
ENSMUSG00000100832.3	Gm29260
ENSMUSG00000100178.2	Gm5267
ENSMUSG00000101877.2	Gm8176
ENSMUSG00000053640.3	Gm9915
ENSMUSG00000101919.2	Gm29664
ENSMUSG00000101299.4	Gm28175
ENSMUSG00000100180.2	Gm28140
ENSMUSG00000103106.2	Gm37047
ENSMUSG00000060424.16	Pantr1
ENSMUSG00000104199.2	4930420N18Rik
ENSMUSG00000121019.1	Gm57163
ENSMUSG00000045515.5	Pou3f3
ENSMUSG00000093436.7	Gm20646
ENSMUSG00000097063.5	Pantr2
ENSMUSG00000099784.2	Dalir
ENSMUSG00000060679.15	Mrps9
ENSMUSG00000077448.3	Gm23126
ENSMUSG00000041907.10	Gpr45
ENSMUSG00002075628.1	Gm56302
ENSMUSG00000070939.10	Tgfbrap1
ENSMUSG00000100269.2	Gm28782
ENSMUSG00000041878.4	8430432A02Rik
ENSMUSG00000010290.8	AI597479
ENSMUSG00000008136.15	Fhl2
ENSMUSG00000094497.2	Gm8210
ENSMUSG00000120601.1	Gm30307
ENSMUSG00000099576.2	Gm29040
ENSMUSG00000099694.2	Gm29610
ENSMUSG00000101923.2	Gm29041
ENSMUSG00000066877.12	Nck2
ENSMUSG00000103422.2	Gm37536
ENSMUSG00000103945.2	Gm38228
ENSMUSG00000026051.9	Ecrg4
ENSMUSG00000100764.2	Gm29155
ENSMUSG00000100635.2	Gm29157
ENSMUSG00000100480.2	Gm29156
ENSMUSG00000057363.13	Uxs1
ENSMUSG00000090243.2	Gm16103
ENSMUSG00000100701.2	Gm19587
ENSMUSG00000101395.2	Gm8241
ENSMUSG00000088848.3	Gm26352
ENSMUSG00002075225.1	Gm54687
ENSMUSG00000120105.1	Gm57117
ENSMUSG00000041763.15	Tpp2
ENSMUSG00000047343.5	Mettl21c
ENSMUSG00000090106.2	Gm15838
ENSMUSG00000091844.3	Ccdc168
ENSMUSG00000026049.12	Tex30
ENSMUSG00000101104.7	Gm29247
ENSMUSG00000026047.14	Poglut2
ENSMUSG00000041684.12	Bivm
ENSMUSG00000026048.17	Ercc5
ENSMUSG00000046828.4	Mettl21e
ENSMUSG00000089703.2	Gm15833
ENSMUSG00000100966.2	Gm5700
